module,wmi,mechanism,rule_ql,n_sa_detected,se_assertion,n_se_confirmed,n_se_discarded,agent_real,agent_false_positive,agent_unclear,n_concrete_validated,n_findings,poc_status
net_psmgr,WMI-1,unchecked-signal-field-set,WMI-1_SignalDivergence_UngovernedSignal.ql,46,assert(producer_view == consumer_view),46,0,11,15,20,31,45,pending PAGENT
net_psmgr,WMI-2,bookkeeping-field-threshold-gate,WMI-2_LiveResourceInconsistency.ql,54,assert(view_a == view_b),54,0,3,32,19,29,54,pending PAGENT
net_psmgr,WMI-2,field-controlled-alloc-size,WMI-2_LiveResourceInconsistency.ql,3,assert(view_a == view_b),3,0,0,3,0,29,3,pending PAGENT
net_psmgr,WMI-3,allocated-content-into-field,WMI-3_AttackerContent_IntoAuthoritativePosition.ql,2,assert(content_trusted == 1),2,0,0,2,0,2,2,pending PAGENT
net_psmgr,WMI-3,attacker-pointer-into-field,WMI-3_AttackerContent_IntoAuthoritativePosition.ql,1,assert(content_trusted == 1),1,0,0,1,0,2,1,pending PAGENT
net_psmgr,WMI-3,preinstalled-pointer-gate,WMI-3c_AttackerContent_PreinstalledPointerGate.ql,1,assert(content_trusted == 1),1,0,0,0,1,2,1,pending PAGENT
net_psmgr,WMI-3,write-at-attacker-offset,WMI-3b_AttackerContent_OffsetControlledWrite.ql,1,assert(content_trusted == 1),1,0,0,1,0,2,1,pending PAGENT
net_psmgr,WMI-4,copy-references-field,WMI-4_ArbitraryAccess_TargetOrExtentFromField.ql,9,assert(access_index < bound),9,0,1,5,3,5,5,pending PAGENT
net_psmgr,WMI-4,indirect-call-via-field,WMI-4_ArbitraryAccess_TargetOrExtentFromField.ql,1,assert(access_index < bound),1,0,1,0,0,5,1,pending PAGENT
